lista,participantes,par,nomes,transcript,mantem,motivo
1,1aa,parD.redondo,Cliva,kli-va,s,
1,1bb,parD.redondo,Ordo,oR-do,s,
1,1cc,parD.redondo,Geseu,Ze-'zew,s,
1,1dd,parD.redondo,Vispolim,vis-po-'l~i,s,
1,1ee,parD.redondo,Ventiral,v~e-ti-'raw,s,
1,1ff,parD.redondo,duviral,du-vi-'raw,s,
1,1gg,parD.redondo,hevi,e-'vi,s,
1,1hh,parD.redondo,Tatale,ta-'ta-le,s,
1,1jj,parD.redondo,Fouman,fow-m~a,n,outro
1,1c,parE.redondo,Quargo,kwaR-go,s,
1,1d,parE.redondo,Chaval,Sa-'vaw,s,
1,1e,parE.redondo,Balônico,ba-'lo-ni-ko,s,
1,1f,parE.redondo,Pixoca,pi-'So-ka,s,
1,1g,parE.redondo,Zomzom,z~o-z~o,s,
1,1h,parE.redondo,fulô,fu-'lo,s,
1,1i,parE.redondo,plis,plis,s,
1,1j,parE.redondo,Fonda,f~o-da,s,
1,1l,parE.redondo,Prodilque,pro-'diw-ke,s,
1,1m,parE.redondo,Baboba,ba-'bo-ba,s,
1,1n,parE.redondo,Juni,Zu-'ni,s,
1,1o,parE.redondo,conjur,k~o-'ZuR,s,
1,1p,parE.redondo,Ziremitro,zi-re-'mi-tro,s,
1,1q,parE.redondo,Absentiã,a-bi-s~e-ti-'~a,s,
1,1r,parE.redondo,lezzfim,les-'f~i,n,outro
1,1s,parE.redondo,Copalanzio,ko-pa-l~a-'zio,s,
1,1t,parE.redondo,undemol,~u-de-'mow,s,
1,1u,parE.redondo,Constanse,k~os-'t~a-se,n,palavra do pb (nome proprio)
1,1v,parE.redondo,Jaculito,Za-ku-'li-to,s,
1,1w,parE.redondo,Amagueri,a-ma-ge-'ri,s,
1,1x,parE.redondo,Lifundio,li-f~u-'dio,s,
1,1aa,parE.redondo,Ricula,hi-'ku-la,s,
1,1bb,parE.redondo,Oueda,owe-da,s,
1,1cc,parE.redondo,Bolum,bo-'l~u,s,
1,1dd,parE.redondo,Ponjo,p~o-Zo,s,
1,1ee,parE.redondo,Circundobre,siR-k~u-'do-bre,s,
1,1ff,parE.redondo,bengul,b~e-'guw,s,
1,1gg,parE.redondo,inder,~i-'deR,s,
1,1hh,parE.redondo,Queler,ke-'leR,s,
1,1jj,parE.redondo,Shoumo,Sow-mo,s,
1,1c,parE.pontudo,Deslix,des-liS,s,
1,1d,parE.pontudo,Orix,o-riS,s,
1,1e,parE.pontudo,Tibetático,ti-be-'ta-ti-ko,s,
1,1f,parE.pontudo,Nortuda,noR-'tu-da,s,
1,1g,parE.pontudo,Zinzom,z~i-z~o,s,
1,1h,parE.pontudo,derna,deR-na,s,
1,1i,parE.pontudo,catu,ka-'tu,s,
1,1j,parE.pontudo,Estrimo,es-'tri-mo,s,
1,1l,parE.pontudo,Solxantre,sow-'S~a-tre,s,
1,1m,parE.pontudo,Nonineno,no-ni-'ne-no,s,
1,1n,parE.pontudo,Ovena,o-'ve-na,s,
1,1o,parE.pontudo,laratá,la-ra-'ta,s,
1,1p,parE.pontudo,Amispa,a-'mis-pa,s,
1,1q,parE.pontudo,Caci,ka-'si,s,
1,1r,parE.pontudo,salfa,saw-fa,s,
1,1s,parE.pontudo,varelins,va-re-'l~is,s,
1,1t,parE.pontudo,conculhi,k~o-ku-'Li,s,
1,1u,parE.pontudo,Prown,pro-wn,n,outro
1,1v,parE.pontudo,Uliano,u-li-'a-no,s,
1,1w,parE.pontudo,Prema,pre-ma,s,
1,1x,parE.pontudo,Assucomato,a-su-ko-'ma-to,s,
1,1aa,parE.pontudo,Ferila,fe-'ri-la,s,
1,1bb,parE.pontudo,Iziquidin,i-zi-ki-'d~i,s,
1,1cc,parE.pontudo,Tendilho,t~e-'di-Lo,s,
1,1dd,parE.pontudo,Zikem,zi-k~e,s,
1,1ee,parE.pontudo,Estrecurve,es-tre-'kuR-ve,n,outro
1,1ff,parE.pontudo,diática,di-'a-ti-ka,s,
1,1gg,parE.pontudo,pones,po-neS,s,
1,1hh,parE.pontudo,Zoele,zo-'e-le,s,
1,1jj,parE.pontudo,Esplam,es-pl~a,s,
1,1c,parF.pontudo,Formadouro,foR-ma-'dow-ro,s,
1,1d,parF.pontudo,livos,li-vos,s,
1,1e,parF.pontudo,clark,klaR-ki,n,outro
1,1f,parF.pontudo,NA,NA,n,
1,1g,parF.pontudo,trit,tri-ti,n,outro
1,1h,parF.pontudo,diano,di-'a-no,s,
1,1i,parF.pontudo,pidata,pi-'da-ta,s,
1,1j,parF.pontudo,tricanfe,tri-'k~a-fe,s,
1,1l,parF.pontudo,tripeta,tri-'pe-ta,s,
1,1m,parF.pontudo,grazina,gra-'zi-na,s,
1,1n,parF.pontudo,emitilho,e-mi-'ti-Lo,s,
1,1o,parF.pontudo,pirenu,pi-re-'nu,s,
1,1p,parF.pontudo,blinztu,bl~is-'tu,s,
1,1q,parF.pontudo,creniônis,kre-ni-'o-nis,s,
1,1r,parF.pontudo,xravatu,SRa-va-'tu,n,outro
1,1s,parF.pontudo,trinble,tr~i-ble,s,
1,1t,parF.pontudo,reduodo,he-'du-odo,s,
1,1u,parF.pontudo,calmoriz,kaw-mo-'ris,s,
